Ortsnetz,Landkreis,BezirkNR,Bezirk,1840,1875,1880,1885,1890,1895,1900,1905,1910,Region,Longitude,Latitude,NNID,NameGNU,PostOffice,PostRevenues,PostBahn,Bahnbezirk,RankRailWeight,TotalRailWeight,SentRailWeight,RankRailRevenues,RailRevenues,CollectedNachnahme,PaidNachnahme
Herrieden,Feuchtwangen,14,Feuchtwangen,1049,991,1072,1027,991,969,935,1011,1041,MF,10.49722,49.23277,DEBKGGND000002J6,Herrieden,E,3518.49,0,Z,0,0,0,0,0,0,0
Herrsching,Muenchen,71,MuenchenLandI,357,356,409,377,359,354,448,583,997,OB,11.17694,47.99861,DEBKGGND00000A3U,Herrsching a. Ammersee,E,1572.3,0,Z,0,0,0,0,0,0,0
Hersbruck,Hersbruck,17,HersbruckLauf,2309,3556,3809,4039,3761,3957,4016,4333,4552,MF,11.4325,49.50944,DEBKGGND00000SQY,Hersbruck,E,11555.39,0,N,423,17120.91,3728.3,533,157563,31452,11429
Herzogenaurach,Hoechstadt,89,Hoechstadt,1863,2174,2520,2533,2531,2623,2823,3159,3515,OF,10.88361,49.56833,DEBKGGND00000WXU,Herzogenaurach,E,1499.69,0,Z,0,0,0,0,0,0,0
Hilpoltstein,Hilpoltstein,18,Hilpoltstein,1505,1521,1574,1551,1431,1480,1456,1535,1513,MF,11.18861,49.19055,DEBKGGND000004L4,Hilpoltstein,E,4166.07,0,Z,0,0,0,0,0,0,0
Hirschau,Amberg,103,AmbergLand,1385,1829,1930,1869,1748,1776,1801,1892,1945,OP,11.9425,49.54416,DEBKGGND00000XM7,Hirschau,E,2344.12,0,Z,0,0,0,0,0,0,0
Hochspeyer,Kaiserslautern,123,Kaiserslautern,1471,1794,1878,2085,2253,2323,2508,2685,2882,PF,7.895277,49.44388,DEBKGGND00000VXW,Hochspeyer,E,2203.22,0,Z,0,0,0,0,0,0,0
Hof,Hof,82,Hof,7985,18268,20997,22257,24455,27556,32781,36417,41126,OF,11.91333,50.31638,DEBKGGND0000003N,Hof,Amt,103755.27,0,B,578,92990.58,27777.56,613,1027480,487298,653517
Hofheim,Hofheim,173,KoenigshofenHofheim,845,928,948,974,875,913,939,1025,985,UF,10.52444,50.13916,DEBKGGND00000O1K,Hofheim i. UFr.,E,7073.7,0,Z,0,0,0,0,0,0,0
Holzkirchen,Miesbach,69,Miesbach,564,1271,1316,1318,1475,1710,1958,2309,2430,OB,11.7,47.87833,DEBKGGND00000FM5,Holzkirchen,V,8923.73,0,M,522,25120.32,11574.58,541,122149,35629,30423
Homburg,Homburg,122,Homburg,3205,3612,4030,3926,4273,4531,4785,5493,7196,PF,7.34,49.32361,DEBKGGND00000QBX,Homburg,E,13895.56,0,Z,0,0,0,0,0,0,0
Hornbach,Zweibruecken,129,ZweibrueckenStIngbert,1667,1457,1503,1492,1359,1357,1339,1472,1447,PF,7.368055,49.18722,DEBKGGND00000RNN,Hornbach,E,2604.07,0,Z,0,0,0,0,0,0,0
Hutthurm,Passau,41,PassauWegscheid,635,672,761,795,891,830,827,921,939,NB,13.47416,48.67333,DEBKGGND00000ST4,Hutthurm,N,0,0,Z,0,0,0,0,0,0,0
Ichenhausen,Guenzburg,144,GuenzburgLand,2489,2450,2540,2630,2666,2820,2688,2659,2537,SC,10.30527,48.3725,DEBKGGND00000SNH,Ichenhausen,E,12332.2,0,Z,0,0,0,0,0,0,0
Illertissen,Illertissen,145,Illertissen,1179,1400,1480,1479,1543,1590,1636,1769,1989,SC,10.10527,48.22277,DEBKGGND0000094X,Illertissen,E,6002.16,1,K,434,9926.8,5507.52,494,71560,26839,5643
Immenstadt,Sonthofen,156,Sonthofen,1257,2487,2738,2925,3178,3555,3963,4569,5029,SC,10.22111,47.56138,DEBKGGND000007EJ,Immenstadt i. Allgäu,V,28606.7,1,K,507,19649.96,8221.5,576,235346,25541,38609
Ingenheim,Bergzabern,183,Bergzabern,1648,1518,1519,1478,1376,1322,1295,1271,1241,PF,8.080555,49.13583,DEBKGGND00000RA6,Ingenheim,E,6756.25,0,Z,0,0,0,0,0,0,0
Ingolstadt,Ingolstadt,51,Ingolstadt,9189,14485,15251,16388,17646,20656,22207,23531,23745,OB,11.42444,48.76555,DEBKGGND00000OAJ,Ingolstadt,Amt,60364.2,0,I,566,62885.91,22106.94,595,468801,104795,67738
Ismaning,Muenchen,71,MuenchenLandI,736,1236,1365,1472,1626,1734,1951,2038,2359,OB,11.67333,48.225,DEBKGGND00000A3W,Ismaning,E,1244.3,0,Z,0,0,0,0,0,0,0
Kaiserslautern,Kaiserslautern,123,Kaiserslautern,8250,22669,26323,31449,37047,40828,48310,52306,54659,PF,7.763611,49.4425,DEBKGGND00000RA1,Kaiserslautern,Amt,138702.68,0,Z,0,0,0,0,0,0,0
Kallmuenz,Burglengenfeld,105,Burglengenfeld,1081,1236,1342,1346,1304,1320,1282,1307,1285,OP,11.95611,49.16111,DEBKGGND00000CEO,Kallmünz,E,1488.69,0,Z,0,0,0,0,0,0,0
Kandel,Germersheim,121,Germersheim,3761,3445,3633,3677,3554,3576,3601,3665,3882,PF,8.1925,49.08111,DEBKGGND00000X8S,Kandel,E,7085.67,0,Z,0,0,0,0,0,0,0
Karlstadt,Karlstadt,170,Karlstadt,1999,2303,2440,2320,2525,2660,2886,3089,3225,UF,9.765555,49.96194,DEBKGGND00000798,Karlstadt,E,9214.41,1,Wg,288,4245.89,2174.86,481,61340,8991,9856
Kaufbeuren,Kaufbeuren,134,Kaufbeuren,4050,5553,6268,6495,7331,7676,8361,8955,9094,SC,10.62416,47.88111,DEBKGGND000007FQ,Kaufbeuren,V,45559.22,1,K,530,29089.14,11399.76,583,302050,73977,33874
Kelheim,Kelheim,36,Kelheim,2310,2838,3004,3162,3390,3606,3736,3766,3837,NB,11.86972,48.91888,DEBKGGND00000HHE,Kelheim,E,8827.2,0,I,345,6034.41,4248.83,416,39006,7535,25513
Kemnath,Kemnath,108,Kemnath,1551,1503,1476,1448,1454,1455,1402,1441,1394,OP,11.88694,49.87,DEBKGGND00000HRN,Kemnath,E,5213.95,0,Wn,497,17343.04,15918.82,432,43525,7206,2293
Kempten,Kempten,135,Kempten,7788,12682,13872,14368,15760,17353,18864,20663,21001,SC,10.31083,47.72388,DEBKGGND00000IDQ,Kempten (Allgäu),Amt,109631.15,1,K,580,97028.6,37492.85,611,938417,98181,143546
Kirchenlamitz,Wunsiedel,100,Wunsiedel,1606,2043,4065,1990,2095,2060,2107,2228,2258,OF,11.95055,50.15166,DEBKGGND000007LN,Kirchenlamitz,E,3771.57,1,Wn,470,12932.38,11085.83,293,20144,6316,6530
Kirchheim,Mindelheim,152,Mindelheim,2635,3205,3348,3573,3771,4007,4184,4403,4536,SC,10.47388,48.17277,DEBKGGND00000BJ9,Kirchheim i. Schw.,E,3669.64,0,Z,0,0,0,0,0,0,0
Kirchheimbolanden,Kirchheimbolanden,123,Kaiserslautern,3198,3138,3395,3432,3500,3604,3458,3647,3560,PF,8.011388,49.66388,DEBKGGND00000TT2,Kirchheimbolanden,E,19918.06,0,Z,0,0,0,0,0,0,0
Kitzingen,Kitzingen,160,Kitzingen,5120,6393,6966,7177,7507,8002,8489,8876,9113,UF,10.16111,49.73694,DEBKGGND00000FVI,Kitzingen,V,41857.91,1,Wg,551,38975.44,15832.64,590,365776,67060,45319
Klingenberg,Obernburg,179,Obernburg,838,860,918,1014,1010,1161,1328,1503,1587,UF,9.183055,49.78333,DEBKGGND00000WFZ,Klingenberg a. Main,E,5643.53,1,Wg,159,1871.04,1173.84,275,17931,2532,969
Kochel,BadToelz,76,BadToelz,717,733,811,766,725,885,959,1209,1317,OB,11.36805,47.65861,DEBKGGND00000USY,Kochel a. See,E,2902.6,0,Z,0,0,0,0,0,0,0
Koenigshofen,Koenigshofen,173,KoenigshofenHofheim,1558,1789,1876,1791,1740,1773,1729,1768,1802,UF,9.206944,50.06083,DEBKGGND000003YP,Königshofen an der Kahl,E,8689.92,0,Z,0,0,0,0,0,0,0
Koetzting,Koetzting,37,Koetzting,1458,1642,1626,1666,1621,1713,1795,1882,2088,NB,12.85472,49.17472,DEBKGGND00000QXI,,E,6986.88,0,Z,0,0,0,0,0,0,0
Konradsreuth,Hof,90,HofLand,1555,1790,1703,1737,1718,1650,1509,1525,1462,OF,11.84583,50.26861,DEBKGGND00000HKW,Konradsreuth,E,979.17,0,Z,0,0,0,0,0,0,0
Kraiburg,Muehldorf,70,Muehldorf,793,1003,1052,1042,1066,1004,1044,1029,1026,OB,12.42861,48.18138,DEBKGGND00000VQY,Kraiburg a. Inn,E,5866.3,1,Rm,283,4164.05,2434.52,287,19671,14005,2239
Kreuth,Miesbach,69,Miesbach,570,690,688,744,778,871,1090,1076,1074,OB,11.74305,47.64472,DEBKGGND00000NVT,Kreuth,E,6144.75,0,Z,0,0,0,0,0,0,0
Kronach,Kronach,91,KronachTeuschnitz,3399,3685,4037,4137,4140,4252,4788,5206,5434,OF,11.32527,50.23888,DEBKGGND00000GAF,Kronach,E,26440.92,1,B,521,24408.74,14168.23,560,166702,49389,32866
Krumbach,Krumbach,148,Krumbach,1370,1763,1863,1882,1858,1966,1931,3323,3358,SC,10.36388,48.24305,DEBKGGND00000XWN,Krumbach (Schwaben),E,14253.3,0,Z,0,0,0,0,0,0,0
Kulmbach,Kulmbach,92,Kulmbach,3966,5216,5818,6303,6999,8112,9428,10543,10731,OF,11.45111,50.10694,DEBKGGND000007P3,Kulmbach,E,35492.19,1,B,576,91230.83,33381.03,604,639086,167621,120602
Kusel,Kusel,124,Kusel,2346,2861,3091,3004,2966,2956,3122,3470,3503,PF,7.400277,49.5375,DEBKGGND00000BVJ,Kusel,E,14302.84,0,Z,0,0,0,0,0,0,0
Lam,Koetzting,37,Koetzting,1152,1562,1561,1578,1645,1758,1905,1844,1872,NB,13.05361,49.19472,DEBKGGND00000HJC,Lam,E,3883.3,0,Z,0,0,0,0,0,0,0
Lambrecht,NeustadtWeinstrasse,126,NeustadtDuerkheim,2169,2980,2963,3150,3291,3427,3629,3700,3625,PF,8.069722,49.37222,DEBKGGND00000P8N,Lambrecht (Pfalz),E,16826.81,0,Z,0,0,0,0,0,0,0
LandauIsar,LandauIsar,38,LandauIsar,1896,2893,3188,3165,2993,3149,3205,3386,3228,NB,12.69388,48.66888,DEBKGGND000006CK,Landau a.d. Isar,E,11698.98,0,Rm,474,13594.77,4186.49,530,99371,37586,27913
LandauPfalz,LandauPfalz,125,LandauPfalz,11818,7579,8749,9395,11136,13617,15824,17165,17767,PF,8.112222,49.19638,DEBKGGND000000Y3,Landau in der Pfalz,V,69685.11,0,Z,0,0,0,0,0,0,0
Landsberg,Landsberg,52,Landsberg,3195,4956,5243,5125,5470,5650,5977,6505,7285,OB,10.87777,48.04944,DEBKGGND000007OH,Landsberg am Lech,E,22925.03,0,K,510,21192.05,13356.84,529,68281,32997,20780
Landshut,Landshut,27,Landshut,9307,14780,17225,17873,18862,20555,21737,24217,25137,NB,12.15222,48.53722,DEBKGGND00000XNC,Landshut,Amt,102657.75,0,Rg,570,80384.23,21850.39,606,712878,173914,82272
Landstuhl,Kaiserslautern,123,Kaiserslautern,2152,3448,3667,3704,3642,3719,4204,4444,4502,PF,7.568611,49.41,DEBKGGND00000CG0,Landstuhl,E,13526.46,0,Z,0,0,0,0,0,0,0
Langenzenn,Fuerth,15,FuerthLand,1984,1712,1776,1732,1722,1795,1951,1973,2003,MF,10.79555,49.49527,DEBKGGND00000WOZ,Langenzenn,E,2717.99,1,Wg,241,3411.28,1027.76,369,30206,10084,1185
Langquaid,Rottenburg,44,RottenburgMainburg,727,1081,1175,1245,1160,1155,1098,1176,1169,NB,12.05138,48.82222,DEBKGGND00000MMR,Langquaid,E,4327.82,0,Z,0,0,0,0,0,0,0
Lauf,Lauf,17,HersbruckLauf,3122,3298,3509,3559,3385,3586,4084,4943,5622,MF,11.27972,49.5075,DEBKGGND00000Q2Z,Lauf a.d. Pegnitz,E,10821.46,0,N,455,19291.11,3709.25,555,280605,47571,8193
Lauingen,Dillingen,141,DillingenLand,3604,3784,3930,3861,3845,3946,3870,4116,4423,SC,10.43027,48.57083,DEBKGGND00000S68,Lauingen (Donau),E,10080.35,1,A,481,14251.48,8736.5,505,77799,18156,3224
Lauterecken,Kusel,124,Kusel,1231,1237,1387,1470,1572,1767,1952,2221,2288,PF,7.592777,49.64944,DEBKGGND00000ARU,Lauterecken,E,4949.44,0,Z,0,0,0,0,0,0,0
Lenggries,BadToelz,76,BadToelz,2263,2498,2671,2815,2914,2955,3217,3294,3505,OB,11.57694,47.6825,DEBKGGND00000TV3,Lenggries,E,5979.63,0,Z,0,0,0,0,0,0,0
Lichtenfels,Lichtenfels,93,Lichtenfels,1902,2359,2487,2712,2959,3663,3934,4221,4453,OF,11.06833,50.14694,DEBKGGND0000033J,Lichtenfels,A,45997.47,1,B,561,53843.23,26381.03,609,828904,138846,136331
Lindau,Lindau,136,Lindau,3902,4445,5124,5337,5329,5629,5853,6531,6618,SC,9.691666,47.55388,DEBKGGND00000JZL,Lindau (Bodensee),Amt,49324.02,1,K,590,220757.45,82251.83,622,4499088,1161939,1221625
Lindenberg,Lindau,149,LindauLand,1208,1639,1707,1898,2235,2399,3062,3813,4540,SC,10.71472,48.01666,DEBKGGND00000WTE,Lindenberg,E,12292.66,0,Z,0,0,0,0,0,0,0
Lohr,Lohr,174,LohrGemuenden,3726,4353,4733,4376,4207,4313,4323,4900,5369,UF,9.575833,49.99305,DEBKGGND00000BZB,Lohr a. Main,E,16167.22,0,Z,0,0,0,0,0,0,0
Ludwigshafen,Ludwigshafen,128,SpeyerLudwigshafen,90,12093,15012,21042,33216,39799,61914,72286,83301,PF,8.445277,49.48138,DEBKGGND00000AWX,Ludwigshafen am Rhein,Amt,115647.12,0,Z,0,0,0,0,0,0,0
Ludwigsstadt,Kronach,91,KronachTeuschnitz,1221,1516,1561,1690,1644,1676,1727,1785,1794,OF,11.38861,50.48472,DEBKGGND00000JFF,Ludwigsstadt,E,6231.26,0,Z,0,0,0,0,0,0,0
Lustadt,Germersheim,121,Germersheim,2255,2339,2349,2249,2218,2248,2150,2167,2210,PF,8.274444,49.24444,DEBKGGND00000HYW,Lustadt,E,1860.5,0,Z,0,0,0,0,0,0,0
Mainburg,Mainburg,44,RottenburgMainburg,1104,1802,1965,2189,2219,2368,2482,2817,2833,NB,11.78555,48.64166,DEBKGGND0000087G,Mainburg,E,10984.88,0,Z,0,0,0,0,0,0,0
Marktbreit,Kitzingen,172,KitzingenLand,1910,2229,2408,2445,2385,2358,2385,2329,2331,UF,10.14333,49.66638,DEBKGGND00000IV2,Marktbreit,V,20058.33,1,Wg,529,27750.73,12481.87,567,193018,26872,15404
Marktl,Altoetting,57,Altoetting,438,562,594,664,718,705,726,886,928,OB,12.84083,48.25388,DEBKGGND00000F3M,Marktl,E,2583.45,1,M,389,7548.78,3952.83,509,85363,34426,10657
MarktOberdorf,MarktOberdorf,150,MarktOberdorf,1093,1272,1460,1496,1551,1697,1837,2174,2321,SC,10.61833,47.77944,DEBKGGND00000DDP,Marktoberdorf,E,6868.53,1,K,92,1101.35,541.9,221,13397,2647,1051
Marktredwitz,Marktredwitz,100,Wunsiedel,1839,2091,2554,2354,2738,3001,4255,5685,6635,OF,12.08305,50.00305,DEBKGGND000006YZ,Marktredwitz,E,12562.34,0,Wn,488,16079.45,6451.54,550,136830,41286,17816
Marktzeuln,Lichtenfels,93,Lichtenfels,1026,1237,1271,1269,1226,1168,1120,1120,1097,OF,11.16888,50.16638,DEBKGGND00000237,Marktzeuln,E,5173.38,0,Z,0,0,0,0,0,0,0
Mellrichstadt,Mellrichstadt,176,Mellrichstadt,1759,2096,2247,2254,2177,2048,2014,2107,2176,UF,10.3025,50.42666,DEBKGGND00000LSQ,Mellrichstadt,E,9529.25,1,B,427,9730.32,6234.92,468,56670,18095,16442
Memmingen,Memmingen,137,Memmingen,6876,7762,8406,8688,9600,9972,10889,11620,12362,SC,10.18472,47.98833,DEBKGGND00000DX3,Memmingen,V,49707.89,1,K,549,36060.69,15292.07,591,372810,79206,50532
Mering,Friedberg,63,Friedberg,1529,2131,2257,2300,2220,2264,2448,2490,2541,OB,10.98444,48.2625,DEBKGGND00000MJF,Mering,E,4597.99,1,A,341,5894.77,2217.73,440,46347,13637,4894
Miesbach,Miesbach,69,Miesbach,1039,2067,2247,2398,2638,3055,3429,4042,4189,OB,11.83222,47.78777,DEBKGGND00000DI0,Miesbach,E,15688,1,M,541,32627.08,24316.79,524,94094,40496,9258
Miltenberg,Miltenberg,177,Miltenberg,2985,3561,3683,3627,3534,3528,3802,4120,4050,UF,9.257222,49.70111,DEBKGGND00000CSN,Miltenberg,E,20747.48,0,Wg,404,8634.23,3953.68,525,94792,28657,21336
Mindelheim,Mindelheim,152,Mindelheim,2635,3205,3348,3573,3771,4007,4184,4403,4536,SC,10.49138,48.04583,DEBKGGND000000Y5,Mindelheim,E,15216.81,0,K,483,14347.01,9057.01,527,96445,36081,8929
Mintraching,Regensburg,114,RegensburgLand,720,884,863,850,878,953,958,943,979,OP,12.24027,48.95416,DEBKGGND00000IKA,Mintraching,N,0,0,Z,0,0,0,0,0,0,0
Mittenwald,Garmisch,65,Garmisch,1751,1705,1782,1731,1791,1817,1864,1962,2065,OB,11.26027,47.44194,DEBKGGND000003AY,Mittenwald,E,3314.55,0,Z,0,0,0,0,0,0,0
Mitterteich,Tirschenreuth,118,Tirschenreuth,1581,1506,1563,1610,1759,1834,1935,1976,2075,OP,12.24333,49.95111,DEBKGGND00000H65,Mitterteich,E,4239.47,0,Wn,482,14252.31,12026.7,325,23967,8843,4203
Moosburg,Freising,62,FreisingLand,1879,2720,2922,3019,2012,2059,3136,3519,3556,OB,11.93472,48.46888,DEBKGGND000008MA,Moosburg a.d. Isar,E,7952.26,0,Rg,371,6975.89,2607.87,503,77271,22679,3564
Muehldorf,Muehldorf,70,Muehldorf,1742,2593,2666,2828,2938,3361,3517,4157,4472,OB,12.52055,48.24111,DEBKGGND00000778,Mühldorf a. Inn,V,12665.56,1,M,503,17816.28,9312.96,568,199378,57514,80052
Muenchberg,Muenchberg,94,Muenchberg,3192,3525,3874,4198,4451,4882,5637,6211,6580,OF,11.78944,50.19138,DEBKGGND00000V8S,Münchberg,E,27479.28,1,M,539,32243.72,10359.24,574,218849,52865,18004
Muenchen,Muenchen,53,Muenchen,113329,169693,193024,230023,350594,407307,499932,538983,596467,OB,11.57527,48.13694,DEBKGGND00000T7J,München,Amt,1833148.77,0,M,594,1120475.95,346398.34,624,14513269,2349335,3207944
Muennerstadt,BadKissingen,171,Kissingen,1497,2069,2203,2202,2270,2198,2173,2168,2232,UF,10.19472,50.24972,DEBKGGND000003KR,Münnerstadt,E,6293.16,1,B,205,2721.3,1076.92,376,32319,14260,3368
Muggendorf,Ebermannstadt,87,Ebermannstadt,409,415,463,472,453,429,447,521,521,OF,11.26305,49.80305,DEBKGGND00000WV1,Muggendorf,E,1682.3,0,Z,0,0,0,0,0,0,0
Murnau,Weilheim,79,Weilheim,1247,1503,1699,1630,1739,1777,2040,2256,2512,OB,11.20166,47.67416,DEBKGGND000000Q3,Murnau a. Staffelsee,E,9972,0,Z,0,0,0,0,0,0,0
Mutterstadt,Ludwigshafen,128,SpeyerLudwigshafen,2924,3259,3510,3676,3708,3932,4294,4642,5093,PF,8.354722,49.44027,DEBKGGND000006PM,Mutterstadt,E,3371.83,0,Z,0,0,0,0,0,0,0
Naila,Naila,95,Naila,2089,2090,2086,2206,2045,2313,2617,2837,3322,OF,11.70666,50.33027,DEBKGGND00000QSJ,Naila,E,6594.06,0,Z,0,0,0,0,0,0,0
Nesselwang,Fuessen,143,Fuessen,1631,1588,1597,1553,1555,1607,1637,1805,1937,SC,10.5,47.62166,DEBKGGND00000229,Nesselwang,E,4247.37,0,Z,0,0,0,0,0,0,0
NeuAltOetting,Altoetting,57,Altoetting,3349,5081,5672,5595,5886,6443,7221,8118,8582,OB,12.67638,48.225,DEBKGGND00000H5P,,E,26793.53,0,Z,0,0,0,0,0,0,0
Neuburg,Neuburg,138,Neuburg,6352,7291,7690,7485,7507,8204,8036,8533,9061,SC,11.17944,48.73444,DEBKGGND00000WH7,Neuburg a.d. Donau,V,29639.8,0,I,447,10507.67,4890.16,519,91209,27827,8666
Neuenmarkt,Kulmbach,92,Kulmbach,550,991,948,980,920,1128,1306,1362,1375,OF,11.57944,50.09055,DEBKGGND00000AP8,Neuenmarkt,E,3154.41,1,B,231,3197.27,611.06,449,48737,12923,3175
NeufahrnNB,Mallersdorf,40,Mallersdorf,402,745,692,697,734,895,1044,1105,1122,NB,12.18916,48.73416,DEBKGGND00000OBB,Neufahrn i. NB,E,2111.4,1,Rg,280,4112.86,2407.93,343,26975,8151,1801
NeumarktOP,NeumarktOberpfalz,110,NeumarktOP,4200,4600,5071,5451,5703,5866,6041,6369,6375,OP,11.45861,49.27972,DEBKGGND00000ANJ,Neumarkt i.d. OPf.,E,18500.6,0,Rg,492,16745.55,6550.42,552,140707,34672,13367
NeumarktRott,Muehldorf,70,Muehldorf,901,1237,1537,1373,1465,1535,1570,1646,1588,OB,12.50805,48.36194,DEBKGGND00000P6D,Neumarkt-Sankt Veit,E,9210.27,0,Rm,505,19512.38,1438.35,531,101265,25488,3566
NeustadtAisch,NeustadtAisch,19,NeustadtAisch,3837,3841,4114,4053,3748,3757,3870,4124,4494,MF,10.60833,49.58,DEBKGGND00000CO2,Neustadt a.d. Aisch,E,15962.12,1,Wg,467,12408.36,3201.4,553,141331,18694,10867
NeustadtHaardt,NeustadtWeinstrasse,126,NeustadtDuerkheim,6726,10222,11411,12255,15016,15994,17795,18576,19288,PF,8.14,49.35194,DEBKGGND00000K87,Neustadt an der Weinstraße,Amt,82444.76,0,Z,0,0,0,0,0,0,0
NeustadtSaale,BadNeustadtSaale,178,NeustadtSaale,1443,2201,2215,2166,2068,2072,2140,2176,2163,UF,10.20666,50.32666,DEBKGGND00000HIT,,E,15345.38,0,B,424,9680.83,6083.64,506,78385,27265,7958
Neuulm,Neuulm,154,NeuUlm,576,7049,7744,7593,7921,8684,9215,10763,12395,SC,9.998888,48.39416,DEBKGGND000000ED,Neu-Ulm,Amt,30421.71,1,A,555,43192.91,10304.42,587,355679,92972,56797
Nittenau,Roding,115,Roding,1153,1374,1383,1411,1349,1323,1361,1456,1431,OP,12.27111,49.19694,DEBKGGND00000GIT,Nittenau,E,4279.99,0,Z,0,0,0,0,0,0,0
Noerdlingen,Noerdlingen,139,Noerdlingen,6464,7223,7837,8095,8004,8263,8299,8511,8705,SC,10.49,48.85166,DEBKGGND00000G7Z,Nördlingen,Amt,47567.77,1,A,513,22299.43,10093.01,584,316146,54439,48979
Nordendorf,Donauwoerth,142,DonauwoerthLand,310,368,403,441,406,412,434,449,558,SC,10.83138,48.59444,DEBKGGND00000VDV,Nordendorf,E,2089.82,1,A,107,1294.47,654.26,249,15205,6851,1660
Nordheim,Mellrichstadt,176,Mellrichstadt,818,770,818,834,812,800,807,849,867,UF,10.18333,50.47805,DEBKGGND00000BYR,Nordheim v.d. Rhön,E,2358.35,0,Z,0,0,0,0,0,0,0
Nuernberg,Nuernberg,6,Nuernberg,46824,91018,99519,114891,142590,162386,261081,294426,333142,MF,11.075,49.45083,DEBKGGND00000BZM,Nürnberg,HE,966769.07,0,N,593,511566.07,128689.46,623,7114849,1004153,985380
Oberammergau,Garmisch,65,Garmisch,1155,1226,1349,1246,1366,1340,1559,1531,1881,OB,11.06666,47.59611,DEBKGGND00000DOV,Oberammergau,E,5503.9,0,Z,0,0,0,0,0,0,0
Oberau,Garmisch,65,Garmisch,164,183,158,170,125,190,363,347,387,OB,11.13472,47.55888,DEBKGGND000009R1,Oberau,E,413.88,0,Z,0,0,0,0,0,0,0
Oberaudorf,Rosenheim,73,RosenheimAibling,700,791,780,828,906,940,1002,1079,1150,OB,12.17222,47.64722,DEBKGGND0000065U,Oberaudorf,E,4198.09,1,Rm,304,4713.36,2920.32,351,28221,12624,6856
Oberguenzburg,MarktOberdorf,150,MarktOberdorf,1379,1352,1408,1427,1508,1542,1538,1645,1696,SC,10.41916,47.84583,DEBKGGND000005YN,Obergünzburg,E,7267.59,0,Z,0,0,0,0,0,0,0
Oberkotzau,Hof,90,HofLand,1438,2031,1951,2022,2075,2274,2583,2803,3112,OF,11.93083,50.26416,DEBKGGND00000XVQ,Oberkotzau,E,3080.19,1,B,426,9721.81,3080.85,488,70232,13866,6185
Obernburg,Obernburg,179,Obernburg,1766,1684,1676,1669,1643,1671,1735,1768,1795,UF,9.146944,49.84277,DEBKGGND00000UBF,Obernburg a. Main,E,4064.48,1,Wg,285,4188.33,1596.56,420,39690,12820,1509
Obernzell,Wegscheid,41,PassauWegscheid,1384,1439,1427,1481,1437,1382,1427,1441,1416,NB,13.63777,48.55444,DEBKGGND00000U0W,Obernzell,E,3453.82,0,Z,0,0,0,0,0,0,0
Oberstaufen,Sonthofen,156,Sonthofen,1715,1910,1885,1851,1832,1906,2039,2180,2255,SC,10.02222,47.55444,DEBKGGND00000C88,Oberstaufen,E,5981.37,1,K,437,9942.27,4724.15,491,71162,30288,8778
Oberstdorf,Sonthofen,156,Sonthofen,1889,1770,1830,1813,1892,1953,2365,2492,2797,SC,10.2775,47.40944,DEBKGGND00000S8S,Oberstdorf,E,3834.51,0,Z,0,0,0,0,0,0,0
Ochsenfurt,Ochsenfurt,180,Ochsenfurt,2172,2445,2582,2585,2647,2811,3002,3333,3449,UF,10.06222,49.66472,DEBKGGND00000A8V,Ochsenfurt,E,8119.96,1,Wg,518,23509.88,4948.2,561,167735,24566,7566
Odernheim,Rockenhausen,123,Kaiserslautern,1234,1347,1327,1390,1478,1540,1533,1604,1684,PF,7.705277,49.76527,DEBKGGND000003YL,Odernheim am Glan,E,2361.41,0,Z,0,0,0,0,0,0,0
Oettingen,Noerdlingen,155,NoerdlingenLand,3268,3892,3032,3156,3097,3110,2975,2906,2906,SC,10.60527,48.95527,DEBKGGND00000SM1,Oettingen i. Bay.,E,14199.77,1,A,403,8393.74,4285.07,507,80943,15776,11066
Ortenburg,Vilshofen,48,Vilshofen,1092,1112,1116,1096,1071,1056,1129,1122,1214,NB,13.22527,48.54305,DEBKGGND000002I4,Ortenburg,E,3542.43,0,Z,0,0,0,0,0,0,0
Osterhofen,Vilshofen,48,Vilshofen,1032,1640,1618,1578,1515,1595,1532,1586,1657,NB,13.0225,48.7,DEBKGGND00000N1X,Osterhofen,E,9713.96,0,Tg,397,8042.3,3362.7,478,60962,15917,4763
Ottobeuren,Memmingen,151,MemmingenLand,1656,1513,1579,1748,1799,1903,2059,2194,2399,SC,10.29611,47.94111,DEBKGGND000009G0,Ottobeuren,E,4553.07,0,Z,0,0,0,0,0,0,0
Pappenheim,Weissenburg,25,WeissenburgLand,1994,1781,1731,1791,1748,1626,1677,1772,1929,MF,10.97444,48.93472,DEBKGGND00000ODP,Pappenheim,E,6151.19,0,I,375,7185.37,5476.58,418,39144,10194,4495
Pasing,Muenchen,71,MuenchenLandI,449,1365,1450,1815,2563,4165,7090,7258,9413,OB,11.45944,48.14638,DEBKGGND00000XQE,Pasing,V,3629.85,1,M,490,16463.6,4284.31,535,113162,24327,25347
Passau,Passau,28,Passau,10211,14752,15365,15583,16633,17516,18003,18735,20983,NB,13.45694,48.57333,DEBKGGND00000S7B,Passau,Amt,74947.42,0,Rg,585,135633.77,98933.74,610,933805,557045,2422307
Pegnitz,Pegnitz,96,Pegnitz,1443,2281,1774,1673,1651,1830,2158,2309,2499,OF,11.53833,49.75222,DEBKGGND00000HQC,Pegnitz,E,5335.19,1,N,369,6707.44,1914.5,442,46560,14806,2498
